,Airport_code,Airport_name,Airport_address,Airport_description
535,krt,Khartoum International Airport,Khartoum Sudan,"Khartoum International gets its three-letter airport code from its home in the capital of Sudan, Khartoum."
536,ksa,Kosrae International Airport,Kosrae Micronesia,Kosrae International is located on an artificial island in eastern Micronesia. It serves the state of Kosrae.
537,ksh,Shahid Ashrafi Esfahani Airport,Kermanshah Iran,"Shahid Ashrafi Esfahani Airport is named after Ashrafi Esfahani, Iranian religious leader. Its three-letter code comes from its home in the city of Kermanshah."
538,ksn,Kostanay International Airport,Kostanay Kazakhstan,Kostanay International gets its three-letter airport code from its home in the city of Kostanay.
539,ktm,Tribhuvan International Airport,Kathmandu Nepal,"Opened as an airfield in 1949, Tribhuvan International is named after Tribhuwan Bir Bikram Shah, former King of Nepal. Its airport code comes from its home city of Kathmandu."
540,ktt,Kittilän lentoasema,Kittilä Finland,"Kittilä Airport is a general aviation and commercial airport located in the city of Kittilä, inside the Arctic Circle, and serves Northern Finland."
541,ktw,Międzynarodowy Port Lotniczy Katowice,Katowice Poland,"An international airport, Katowice Airport is the fourth busiest in Poland. Actually located in the village of Pyrzowice, its three-letter code comes from the city it serves: Katowice."
542,kua,Sultan Haji Ahmad Shah Airport,Kuantan Malaysia,"Sultan Ahmad Shah Airport serves Kuantan, a city in the state of Pahang, Malaysia."
543,kuh,Kushiro Airport,Kushiro Japan,Kushiro Airport gets its three-letter code from its home in the city of Kushiro.
544,kul,Lapangan Terbang Antarabangsa Kuala Lumpur,Kuala Lumpur Malaysia,"Upon completion, Kuala Lumpur International replaced Subang Airport as Kuala Lumpur’s primary passenger airport. At the same time, it took the KUL code and Subang received a new code of SZB."
545,kun,Kauno tarptautinis oro uostas,Kaunas Lithuania,Kaunas International is the second-busiest civil airport in Lithuania and the fourth-busiest in the Baltic states.
546,kuo,Kuopion lentoasema,Kuopio Finland,"Opened in 1940, Kuopio Airport is actually located in the city of Siilinjärvi, but serves the city of Kuopio."
547,kwe,Guiyang Longdongbao International Airport,Guiyang China,"Opened in 1997, Guiyang Longdongbao International gets airport code from the city’s former English name: Kweiyang."
548,kwi,Kuwait International Airport,Kuwait City Kuwait,"Located in Farwaniyah, Kuwait International is headquarters for the Kuwait Air Force at Al Mubarak Air Base. Its airport code honors its home in Kuwait."
549,kzn,Kazan International Airport,Kazan Russia,"Completed in 1979, Kazan International gets its three-letter code from its home in the city of Kazan."
550,kzo,Kyzylorda Airport,Kyzylorda Kazakhstan,Kyzylorda Airport gets its three-letter code from the city’s former name of Kzyl-Orda.
551,lad,Aeroporto Internacional 4 de Fevereiro,Luanda Angola,"Quatro de Fevereiro International translates to February 4, an important national holiday in Angola. Its airport code honors the capital city of Luanda."
552,laf,Purdue University Airport,Lafayette IN USA,Purdue University Airport was the first university-owned airport in the U.S. and is the second busiest in Indiana. It is located in West Lafayette and serves its sister city of Lafayette.
553,lan,Capital Region International Airport,Lansing MI USA,"Capital Region International started passenger service in 1929. Located in DeWitt Township, it serves the capital city of Lansing."
554,las,McCarran International Airport,Las Vegas NV USA,"Formerly called Alamo Field, McCarron Airport was renamed in 1948 after Pat McCarran, a senator and author of the Civil Aeronautics Act. Its airport code honors its home in Las Vegas."
555,lax,Los Angeles International Airport,Los Angeles CA USA,"Before the 1930’s, airports had two-letter codes. When codes switched to three letters, many added the letter ‘X’ to the end. LA (Los Angeles) became LAX."
556,lba,Leeds Bradford International Airport,Leeds UK,"Opened in 1931 as Yeadon Aerodrome, Leeds Bradford Airport serves the cities of Leeds and Bradford, along with the Yorkshire region."
557,lbb,Lubbock Preston Smith International Airport,Lubbock TX USA,"Opened in 1937 and originally named South Plains Airport, Lubbock International is now named after Preston E. Smith, former Texas governor. Its airport code honors its home in the city of Lubbock."
558,lbc,Flughafen Lübeck,Lübeck Germany,"Sometimes called “Hamburg Lübeck”, Lübeck Airport was originally built as an airbase during World War I."
559,lbf,North Platte Regional Airport,North Platte NE USA,"Built in 1921, North Platte was the first lighted airfield in the Unitd States. In 1941 it was renamed Lee Bird Field to honor a local pilot who was killed in training during World War I."
560,lbj,Bandar Udara Komodo,Labuan Bajo Indonesia,"Komodo Airport is located on the island of Flores and serves visitors to Komodo National Park, home of the Komodo dragon. Its three-letter code comes from the nearby town of Labuan Bajo."
561,lbu,Lapangan Terbang Labuan,Labuan Malaysia,Labuan Airport serves the country of Malaysia and gets its airport code from the territory of Labuan.
562,lbv,Aéroport De Libreville au Gabon,Libreville Gabon,"Libreville International is officially named after Leon M’ba, the first Prime Minister and President of Gabon. Its airport code comes from the capital city of Libreville."
563,lca,Larnaca International Airport,Larnaca Cyprus,Larnaca Airport was developed in 1974 after Turkey invaded Cyprus and Nicosia International subsequently closed. It now serves the city of Larnaca.
564,lcg,Aeroporto da Coruña-Alvedro,A Coruña Spain,"Formerly known as Alvedro Airport, A Coruña Airport was inaugurated in 1963. Its airport code comes from the Spanish city of La Coruña, Galicia."
565,lck,Rickenbacker International Airport,Columbus OH USA,"Opened in 1942, Rickenbacker International is now named after World War I pilot Eddie Rickenbacker. It was originally known as Lockbourne Army Airfield for the nearby town of Lockbourne."
566,lcy,London City Airport,London UK,"Located in the Royal Docks and near London’s financial district, London City Airport primarily serves business travelers. Recently though, it has started serving more leisure destinations."
567,ldy,City of Derry Airport,Derry UK,"Originally built during World War II, City of Derry Airport was renamed in 1994. Its previous name was Londonderry Eglinton Airport."
568,led,Aeroport Pulkovo,Saint Petersburg Russia,"Pulkovo Airport opened in the city of Leningrad in 1932. In 1991, the city returned to its original name of Saint Petersburg and kept the airport code, now associated with LED lights for many visitors."
569,lei,Aeropuerto de Almería,Almería Spain,Almería Airport gets its three-letter code from its home in the city of Almería.
570,lej,Flughafen Leipzig/Halle,Leipzig Germany,"Opened in 1986, Leipzig/Halle Airport gets its airport code from the city of Leipzig. The ‘J’ is a phonetic replacement for the ‘G’ in Leipzig."
571,len,Aeropuerto de León,León Spain,"Used as an aviation school during the 1940s, León Airport opened commercially in 1964 serving the city of León."
572,leu,Aeropuerto de La Seu d'Urgell,La Seu d'Urgell Spain,"Andorra is one of five countries without an airport. Opened in 1982, La Seu d'Urgell Airport in Spain serves passengers traveling to Andorra and the nearby areas."
573,lex,Blue Grass Airport,Lexington KY USA,"Located in the Horse Capital of the World, Blue Grass Airport opened in 1946. Its airport code honors its home in Lexington, Kentucky."
574,lft,Lafayette Regional Airport,Lafayette LA USA,"Opened in 1930, Lafayette Regional gets its three-letter airport code from its home in the city of Lafayette."
575,lfw,Lomé–Tokoin Airport,Lomé Togo,Lomé–Tokoin Airport gets its three-letter airport code from its home in the city of Lomé and the former federation of French West Africa.
576,lga,LaGuardia Airport,New York City NY USA,"LaGuardia has had many names and the land it sits on was once an amusement park. Its current name comes from Fiorello La Guardia, former mayor of New York who championed its construction."
577,lgb,Long Beach Airport,Long Beach CA USA,"Formerly named Daugherty Field after barnstormer Earl S. Daugherty, Long Beach Airport was once the site for one of the world’s first flying schools."
578,lgg,Liège Airport,Liège Belgium,"Often called Liège-Bierset, Liège Airport is located in Grâce-Hollogne and serves the city of Liège, Belgium."
579,lgk,Lapangan Terbang Antarabangsa Langkawi,Langkawi Malaysia,"Located in the town of Padang Matsirat, Langkawi International serves the Langkawi islands in Malaysia. It hosts an international maritime and aerospace exhibition every two years."
580,lgw,Gatwick Airport,London UK,"Close to London, Gatwick Airport is the second-largest airport in Britain. It’s the world’s busiest single-use runway and is named after Gatwick manor house that used to stand on the site."
581,lhe,Allama Iqbal International Airport,Lahore PB Pakistan,"Renamed in 2003, Allama Iqbal International honors Muhammad Iqbal, poet-philosopher and advocate for the Pakistan Movement. Its airport code honors its former name and home in Lahore."
582,lhr,London Heathrow Airport,London UK,"London Heathrow takes its name from Heathrow, a hamlet north-west of where the (then) small airfield was started in 1929."
583,lih,Lihue Airport,Lihue HI USA,"Opened in 1949, Lihue Airport is the primary airport on the Hawaiian island of Kauai. Its airport code honors its home in the city of Lihue."
584,lil,Aéroport de Lille, Lille France,"Also known as Lesquin Airport, Lille Airport gets its three-letter code from the city of Lille."
585,lim,Aeropuerto Internacional Jorge Chávez,Lima Peru,"Originally named Lima-Callao Airport, Jorge Chávez International was renamed in 1965 to honor the Peruvian aviator."
586,lin,Aeroporto di Milano-Linate,Milan Italy,Milan Linate Airport is officially named Airport Enrico Forlanini after the Italian inventor. Its airport code comes from the village of Linate in the town of Peschiera Borromeo.
587,lir,Aeropuerto Internacional Daniel Oduber Quirós,Liberia Costa Rica,Daniel Oduber Quirós International is named after the former President of Costa Rica and serves the city of Liberia.
588,lis,Aeroporto da Portela,Lisbon Portugal,"Portugal’s busiest airport is named for its neighboring parish, Portela, but its airport code comes from the capital city of Lisbon."
589,lit,Bill and Hillary Clinton National Airport,Little Rock AR USA,"Still referred to as Adams Field, Arkansas’ largest airport is now named after former U.S. President Bill Clinton and his wife, Hillary. Its aiport code honors its home in Little Rock."
590,lju,Letališče Jožeta Pučnika Ljubljana,Ljubljana Slovenia,"In 2007, Ljubljana Jože Pučnik Airport was renamed to honor Jože Pučnik, considered one of the fathers of Slovenian independence. Its airport code honors its home in Ljubljana."
591,lko,Chaudhary Charan Singh International Airport,Lucknow UP India,Chaudhary Charan Singh International is named after India’s sixth Prime Minister. Its airport code honors its home in the city of Lucknow.
592,llw,Lilongwe International Airport,Lilongwe Malawi,"Sometimes referred to as Kamuzu Airport, Lilongwe International gets its three-letter code from the capital city of Malawi, Lilongwe."
593,lmn,Lapangan Terbang Limbang,Limbang Malaysia,"Opened in 2004, Limbang Airport replaced the Limbang airfield built in the 1960s. Its three-letter code comes from its home in the city of Limbang."
594,lmt,Crater Lake - Klamath Regional Airport,Klamath Falls OR USA,"The FCC restricted U.S. airport codes from beginning with the letters ‘W’ and ‘K’, reserving them for radio station designations. Crater Lake - Klamath Regional, with origins dating back to 1928, chose other letters from Klamath Falls."
595,lnk,Lincoln Airport,Lincoln NE USA,"Used during World War II as Lincoln Army Air Field, Lincoln Airport’s code gets its first two letters from the city of Lincoln. The ‘K’ works phonetically and as a filler letter."
596,lnz,Linz Airport,Linz Austria,"Linz Airport serves as gateway to the third largest city in Austria, which northern and southern parts are divided by the Danube river, similar to Austria’s capital – Vienna. Its airport code is just one letter short of the city’s full name – Linz"
597,lop,Lombok International Airport,Mataram NTB Indonesia,"Built to replace the Selaparang Airport and opened in 2011, Lombok International Airport serves the city of Mataram, the capital of the province of West Nusa Tenggara.  It receives its code from the district on the island where it is located, LOmbok Praya"
598,los,Murtala Muhammed International Airport,Lagos Nigeria,"Formerly Lagos International, Murtala Muhammed International was renamed to honor assassinated head of state, General Murtala Ramat Muhammed. Its airport code honors its home in Lagos."
599,lpa,Aeropuerto de Gran Canaria,Gran Canaria Spain,"Located on the island of Gran Canaria on the Bay of Gando, Gran Canaria Airport is sometimes (incorrectly) called Las Palmas Airport."
600,lpb,Aeropuerto Internacional El Alto,La Paz Bolivia,"The highest international airport in the world, at 13,325 ft (4061 m), El Alto’s airport code honors the nearby city of La Paz, Bolivia."
601,lpl,Liverpool John Lennon Airport,Liverpool UK,"Opened in 1930 and known locally as Speke Airport, Liverpool John Lennon Airport is named after late musician John Lennon of the Beatles. Its airport code honors its home in Liverpool."
602,lpq,Luang Prabang International Airport,Luang Prabang Laos,"Luang Prabang International is one of few international airports in the country of Laos. Its three-letter code comes from Luang Prabang, plus a helpful ‘Q’ as a filler letter."
603,lrd,Laredo International Airport,Laredo TX USA,"Previously known as Laredo Army Airfield during World War II, Laredo International now serves the city of Laredo, Texas."
604,lrh,Aéroport de La Rochelle – Ile de Ré,La Rochelle France,La Rochelle Airport gets its three-letter code from its home in La Rochelle. It also serves the nearby Île de Ré.
605,lse,La Crosse Regional Airport,La Crosse WI USA,"Located near U.S. Army Fort McCoy military base, La Crosse Regional serves passengers traveling to west-central Wisconsin, southeastern Minnesota, and northeastern Iowa."
606,ltn,London Luton Airport,London UK,"Previously Luton International, London Luton Airport was renamed in 1990 to emphasize its proximity to London. The airport itself is located in the town of Luton."
607,luk,Cincinnati Municipal Airport,Cincinnati OH USA,"Cincinnati Municipal is also known as Lunken Field, named after Eshelby Lunken and the Lunken family who donated the land where the airport now sits."
608,lun,Kenneth Kaunda International Airport,Lusaka Zambia,"Renamed in 2011 in honor of Zambia’s first president, Kenneth Kaunda International is located in Lusaka, formerly the capital of Northern Rhodesia."
609,lux,Aéroport de Luxembourg,Luxembourg City Luxembourg,"Located in the town of Findel, Luxembourg’s only international airport gets its airport code from its home country of Luxembourg."
610,lvi,Harry Mwanga Nkumbula International Airport,Livingstone Zambia,Harry Mwanga Nkumbula International is named after the nationalist leader who fought for Northern Rhodesian independence. Its airport code comes from its home in the city of Livingstone.
611,lwb,Greenbrier Valley Airport,Lewisburg WV USA,Greenbrier Valley Airport is located in Greenbrier County and gets its three-letter airport code from the nearby city of Lewisburg.
612,lwo,Lviv Danylo Halytskyi International Airport,Lviv Ukraine,Lviv Danylo Halytskyi International is named after 13th century King Daniel of Galicia. Its airport code comes from the Polish spelling of Lviv: Lwów.
613,lxr,Luxor International Airport,Luxor Egypt,"Luxor International serves the many tourists who visit the Nile River and the Valley of the Kings. Its three-letter code comes from its home in Luxor, Egypt."
614,lyr,"Svalbard lufthavn, Longyear",Svalbard Norway,Svalbard Airport gets its name from the city it serves. Its airport code comes from the nearby town of Longyearbyen.
615,lys,Aéroport Lyon-Saint-Exupéry,Lyon France,"In 2000, Lyon’s airport was renamed to honor French aviator Antoine de Saint-Exupéry. Its airport code comes from its original name, Lyon Satolas Airport. "
616,maa,Chennai International Airport,Chennai TN India,"Chennai International is located in Tirusulam, a suburb of Chennai, but gets its three-letter code from the city’s former name, Madras, changed in 1996."
617,mad,Aeropuerto Adolfo Suárez Madrid-Barajas,Madrid Spain,"Spain’s largest airport honors former Prime Minister Adolfo Suárez, but its airport code honors its home in the capital city of Madrid."
618,maf,Midland International Air and Space Port,Midland TX USA,"Midland International is located between the cities of Midland and Odessa. Its airport code comes from its time as a training base during World War II, named Midland Army Airfield."
619,mah,Aeropuerto de Menorca,Mahón Spain,"Opened in 1969, Menorca Airport gets its three-letter code from its home in Mahón on the island of Menorca."
620,maj,Marshall Islands International Airport,Majuro Marshall Islands,"Built during World War II, Marshall Islands International is sometimes referred to as Amata Kabua Airport. Its airport code comes from the city and atoll named Majuro."
621,man,Manchester Airport,Manchester UK,"Once called Ringway Airport because of its location in the parish of Ringway, the UK’s third busiest airport serves the city of Manchester."
622,mao,Aeroporto Internacional Brigadeiro Eduardo Gomes,Manaus AM Brazil,"Brigadeiro Eduardo Gomes International is named after Brazilian Air Marshall Eduardo Gomes. Its airport code comes from an alternate spelling of Manaus, Manáos."
623,mba,Moi International Airport, Mombasa Kenya,"Named after Kenyan President Daniel arap Moi, Moi International serves the city of Mombasa."
624,mbj,Sangster International Airport,Montego Bay Jamaica,"Sangster International is named in honor of former Jamaican Prime Minister Sir Donald Sangster. Its airport code honors its home in Montego Bay, Jamaica."
625,mbs,MBS International Airport,Freeland MI USA,"Formerly known as Freeland Tri-City Airport, MBS International is the third busiest airport in Michigan. Its airport code honors the three communities it serves: Midland, Bay City, and Saginaw."
626,mci,Kansas City International Airport,Kansas City MO USA,"Before changing its name in 1972, Kansas City International was originally known as Mid-Continent International Airport."
627,mco,Orlando International Airport,Orlando FL USA,"Renamed in 1976, Orlando’s airport was originally a military airfield known as McCoy Airforce Base, honoring Colonel Michael Norman Wright McCoy."
628,mct,Muscat International Airport,Muscat Oman,"Opened in 1973 and originally named Seeb International, the largest airport in Oman is located in the city of Muscat."
629,mcw,Mason City Municipal Airport,Mason City IA USA,"Founded in 1927, Mason City Municipal gets its three-letter code from the two organizations that founded it, Mason City Chamber of Commerce and the Clausen-Worden Post of the American Legion."
630,mcz,Aeroporto Internacional Maceió/Zumbi dos Palmares,Maceió AL Brazil,"Renamed in 1999, Maceió/Zumbi dos Palmares International is named after Zumbi dos Palmares, 17th century hero and freedom fighter."
631,mdc,Bandar Udara Internasional Sam Ratulangi,Manado Indonesia,"Often called Manado Airport, Sam Ratulangi International is named after the Minahasan independence hero Sam Ratulangi. Its airport code comes from nearby Manado City."
632,mde,Aeropuerto Internacional José María Córdova,Medellín Colombia,"Opened in 1985, José María Córdova International is named after a General of the Colombian army. Actually located in the city of Rionegro, it gets its three-letter code from the city it serves, Medellín."
633,mdl,Mandalay International Airport,Mandalay Myanmar,Mandalay International is one of three airports in Myanmar. Its three-letter code honors its home in Mandalay.
634,mdq,Aeropuerto Internacional de Mar del Plata “Ástor Piazzolla”,Mar del Plata Argentina,"Named after an Argentine musician, Astor Piazzolla International is located in Mar del Plata. With MDP already taken, its code uses the letter ‘Q’ in place of the ‘P’."
635,mdt,Harrisburg International Airport,Harrisburg PA USA,"Often called HIA incorrectly, Harrisburg International’s airport code comes from Middletown, a nearby Harrisburg suburb."
636,mdw,Midway International Airport,Chicago IL USA,"Once called Chicago Air Park and later Chicago Municipal, Midway International was renamed in 1949 to honor World War II’s Battle of Midway."
637,mdz,Aeropuerto Internacional Gobernador Francisco Gabrielli,Mendoza Argentina,"Named after the former Mendoza governor, Francisco Gabrielli International gets its three-letter code from the city of Mendoza."
638,med,Prince Mohammad bin Abdulaziz International Airport,Medina Saudi Arabia,"Opened in 1950, Prince Mohammad bin Abdulaziz Internationali is named after the former Crown Prince. Its airport code comes from its home in the city of Medina."
639,mel,Melbourne Airport,Melbourne Vic Australia,"Located in the suburb of Tullamarine, Melbourne Airport is often called “Tullamarine Airport” or just “Tulla.” Its airport code comes from the city of Melbourne."
640,mem,Memphis International Airport,Memphis TN USA,"In 1969, Memphis Municipal Airport changed its name to “International”, presenting Memphis as a hub for international travel and cargo."
641,mex,Aeropuerto Internacional Benito Juárez,Mexico City DF Mexico,"Once called Central Airport and most commonly referred to as Mexico City International, Mexico’s busiest airport is named in honor of 19th century president, Benito Juárez."
642,mfd,Mansfield Lahm Regional Airport,Mansfield OH USA,Mansfield Lahm Regional is home to Mansfield Lahm Air National Guard Base and hosts Mansfield Airport Day each year. Its airport code honors the city of Mansfield.
643,mga,Aeropuerto Internacional Augusto C. Sandino,Managua Nicaragua,"Nicaragua’s busiest airport is named after Augusto César Sandino, national hero and revolutionary. Its three-letter airport code comes from the capital city of Managua."
644,mgl,Flughafen Düsseldorf Mönchengladbach,Mönchengladbach Germany,"Founded in 1955 as a small airstrip, Düsseldorf Mönchengladbach Airport gets its three-letter code from its home in the city of Mönchengladbach."
645,mgm,Montgomery Regional Airport,Montgomery AL USA,"Previously known as Dannelly Field, Montgomery Regional is located in and serves the city of Montgomery."
646,mhd,Shahid Hashemi Nejad Airport,Mashhad Iran,Shahid Hashemi Nejad Airport is the second busiest airport in Iran and gets its three-letter code from its home in Mashhad.
647,mht,Manchester–Boston Regional Airport,Manchester NH USA,Manchester Airport added “-Boston Regional” to its name in 2005 to serve as another option for Boston travelers. Its airport code still honors its home in Manchester.
648,mia,Miami International Airport,Miami FL USA,"Once known as the 36th Street Airport, the three-letter code MIA stands for Miami and not the popular initialism for “missing in action.”"
649,mjv,Aeropuerto de Murcia-San Javier,Murcia Spain,"Started as a military air base, Murcia-San Javier airport is located in San Javier and serves the cities of Murcia and Cartagena."
650,mkc,Charles B. Wheeler Downtown Airport,Kansas City MO USA,"Charles B. Wheeler Downtown Airport in Missouri was originally Kansas City’s main airport, until the FAA called it “the most dangerous major airport in the country” and it was replaced with Kansas City International in 1972."
651,mke,General Mitchell International Airport,Milwaukee WI USA,"General Mitchell International honors U.S. Army Air Service General Billy Mitchell, but its airport code honors its home in Milwaukee."
652,mkg,Muskegon County Airport,Norton Shores MI USA,"Located in Norton Shores, construction on Muskegon County Airport began in 1931. Its airport codes honors its home in Muskegon County, Michigan."
653,mla,Ajruport Internazzjonali ta 'Malta,Valletta Malta,"Located between the villages of Luqa and Gudja near the capital city of Valletta, Malta International is the only airport serving the nation of Malta."
654,mlb,Melbourne International Airport,Melbourne FL USA,"Melbourne International dates back to the late 1920s and gets its airport code from its home in the city of Melbourne, Florida."
655,mle,Ibrahim Nasir International Airport,Male Maldives,"Ibrahim Nasir International is named after the first president of the Maldives. It is located on Hulhule Island, near the capital island of Male."
656,mlh,EuroAirport Basel–Mulhouse–Freiburg,Mulhouse France,"EuroAirport Basel-Mulhouse-Freiburg has two IATA codes (BSL is the other one). It is located in Saint-Louis, France but is one of only a few airports in the world operated jointly by two countries, in this case France and Switzerland."
657,mli,Quad City International Airport,Moline IL USA,"The QCIA serves the Quad City Metro area spanning the border of Iowa and Illinois. Its airport code comes from the city it resides in, MoLIne."
658,mln,Aeropuerto de Melilla,Melilla Spain,"Opened in 1969, Melilla Airport serves the city of Melilla, a Spanish enclave in Africa, and the nearby city of Nador, Morocco."
659,mlu,Monroe Regional Airport,Monroe LA USA,"Monroe Regional was previously named Selman Army Airfield after U.S. Navy pilot, Lieutenant Augustus J. Selman. Its three-letter code comes from its home in Monroe, Louisiana."
660,mme,Durham Tees Valley Airport,Darlington UK,"Commonly still called Teesside International, Durham Tees Valley started as RAF Middleton St. George in 1941. Some say its code comes from Middleton Military Establishment, but the airport itself has said the second ‘M’ is a filler letter."
661,mmh,Mammoth Yosemite Airport,Mammoth Lakes  CA USA,"Primarily used for general aviation, Mammoth Yosemite Airport gets its three-letter code from its home in the city of Mammoth Lakes."
662,mmx,Malmö flygplats,Malmö Sweden,"Built in 1972 and formerly known as Sturup Airport, Malmö Airport gets its three-letter code from its home in Malmö, plus a helpful ‘X’ as a filler letter."
663,mnl,Paliparang Pandaigdig ng Ninoy Aquino,Manila Philippines,"Originally named Manila International, Ninoy Aquino Airport was renamed in 1987 to honor assassinated Senator Benigno “Ninoy” Aquino, Jr. Its airport code honors the city it serves: Manila."
664,mob,Mobile Regional Airport,Mobile AL USA,"Fully self-funded and home to a U.S. Coast Guard aviation training center, Mobile Regional serves Mobile, Alabama."
665,moo,Moomba Airport,Moomba SA Australia,Moomba Airport gets its fun three-letter code from its home in the city of Moomba in South Australia.
666,mpm,Maputo International Airport,Maputo Mozambique,"Sometimes still called Lourenço Marques Airport, Maputo International get its airport code from its location in the capital city of Maputo, Mozambique."
667,mqc,Aéroport de Miquelon,Miquelon Saint Pierre and Miquelon France,Miquelon Airport gets its three-letter airport code from its location in the Miquelon-Langlade commune in Saint Pierre and Miquelon.
668,mql,Mildura Airport,Mildura Vic Australia,"Called RAAF Base Mildura during World War II, Mildura Airport gets its three-letter code from the city of Mildura, plus a helpful ‘Q’ as a filler letter."
669,mrs,Aéroport de Marseille Provence,Marseille France,"Marseille Provence Airport is located in the commune of Marignane and was previously known as Marseille–Marignane Airport. Its airport code comes from the city it serves,  Marseille."
670,mru,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien Mauritius,"Officially opened in 1945, Plaisance Airport was later renamed to honor former Prime Minister Seewoosagur Ramgoolam. It is located in the southernmost part of Mauritius."
671,mry,Monterey Regional Airport,Monterey CA USA,"Opened in 1936 and previously named Monterey Peninsula Airport, Monterey Regional was renamed in 2011 and serves the city of Monterey, California."
672,msn,Dane County Regional Airport,Madison WI USA,"Formerly Truax Field, named after U.S. Army Air Forces Lieutenant Thomas L. Truax, Dane County Regional’s code honors its home in the city of Madison."
673,mso,Missoula International Airport,Missoula MT USA,"Previously known as Johnson-Bell Field, Missoula International opened in 1941 and serves the city of Missoula, Montana."
674,msp,Minneapolis–Saint Paul International Airport,Twin Cities MN USA,"Formerly known as Speedway Field and Wold–Chamberlain Field, MSP is now named after Minnesota’s twin cities, Minneapolis and Saint Paul."
675,msq,Minsk National Airport,Minsk Belarus,"Minsk National, formerly known as Minsk-2 (yes, there is a Minsk-1), is the primary airport in Belarus. Its code comes from the city of Minsk. The ‘Q’ works phonetically, but is used as a filler letter."
676,mst,Maastricht Aachen Airport,Beek Netherlands,"Located in the town of Beek and previously known as Beek Airfield, Maastricht Aachen Airport serves the cities of Maastricht, Netherlands and Aachen, Germany."
677,msu,Moshoeshoe I International Airport,Maseru Lesotho,"Moshoeshoe I International is named after the founder of the Basotho nation, eventually to become Lesotho. Located in Mazenod, it serves the city of Maseru."
678,msy,Louis Armstrong International Airport,New Orleans LA USA,"In 2001, the airport was named after jazz legend Louis Armstrong, but was previously called Moisant Field, after aviator John Moisant. Its airport code came from the nearby Moisant Stock Yards."
679,mtj,Montrose Regional Airport,Montrose CO USA,"Dedicated in 1988, Montrose Regional is a non-towered, seasonal airport. Its code gets its first two letters from Montrose. Some say the ‘J’ comes from Jet Airport, but it is likely a filler letter."
680,mts,Matsapha Airport,Manzini Swaziland,"In 2014, most air traffic to Swaziland was moved from Matsapha Airport to King Mswati III International. It originally served the city of Manzini, but is located in the town of Matsapha."
681,mty,Aeropuerto Internacional Mariano Escobedo,Monterrey NL Mexico,"Located in Apodaca, Monterrey International is named after Mariano Escobedo, a Mexican Army general and former Governor of Nuevo León."
682,muc,Flughafen München Franz Josef Strauß,Munich Germany,"Rarely called by its full name, Munich Airport is named after German politician Franz Josef Strauss. Its airport code honors its home near the city of Munich."
683,mux,Multan International Airport,Multan  PB Pakistan,"With military flights using the area as early as 1919, Multan International gets its three-letter airport code from the city of Multan, plus a helpful filler ‘X’."
684,mvd,Aeropuerto Internacional de Carrasco/General Cesáreo L. Berisso,Montevideo Uruguay,Carrasco International is named after aviation pioneer General Cesáreo L. Berisso. Its airport code comes from the capital city of Montevideo.
685,mvy,Martha’s Vineyard Airport,Martha’s Vineyard MA USA,"Built in 1942 as a naval training facility, Martha’s Vineyard Airport is located near the community of Vineyard Haven on the island of Martha’s Vineyard."
686,mxe,Laurinburg–Maxton Airport,Maxton NC USA,"A former U.S. Army air base during World War II, Laurinburg–Maxton Airport is known today primarily as an airliner graveyard. Its code comes in part from Maxton, but the ‘E’ is more of a mystery and is likely a filler letter."
687,mxp,Aeroporto di Milano-Malpensa,Milan Italy,"Many airports use the letter ‘X’ to fill in when the desired letters are already taken. Milan’s airport code comes from Cascina Malpensa, where the airport got its start, plus that helpful ‘X’."
688,myf,Montgomery Field Airport,San Diego CA USA,"Originally opened in 1940 as Gibbs Field, Montgomery Field Airport is now named after aviation pioneer John J. Montgomery."
689,myr,Myrtle Beach International Airport,Myrtle Beach SC USA,"Formerly Myrtle Beach Air Force Base, Myrtle Beach Airport gained international status in 1996. Its airport code comes from its home in Myrtle Beach."
690,myt,Myitkyina Airport,Myitkyina Myanmar,"Myitkyina Airfield was captured by the Japanese Air Force during World War II. Now a passenger airport, it serves the city of Myitkyina in Myanmar."
691,mzl,Aeropuerto La Nubia,Manizales Colombia,"Due to a short runway, only turbopropeller aircrafts can land at La Nubia Airport. It gets its three-letter code from its city of Manizales."
692,nag,Dr. Babasaheb Ambedkar International Airport,Nagpur MH India,Dr. Babasaheb Ambedkar International is named after the chief architect of the Indian Constitution. Its airport code comes from its home in city of Nagpur.
693,nan,Nadi International Airport,Nadi Fiji,"Used as a U.S. military base during World War II, Nadi International was once called Naval Air Facility Nandi. “Nandi” was an English phonetic spelling used long after the airport’s name was officially changed."
694,nap,Aeroporto Internazionale di Napoli,Naples Italy,"Originally Capodichino Airport, Naples International is located in the Capodichino district in the city of Naples."
695,nas,Lynden Pindling International Airport,Nassau Bahamas,"In 2006, Lynden Pindling Airport changed its name from Nassau International in honor of the former Prime Minister, Sir Lynden Oscar Pindling."
696,nat,Aeroporto Internacional Augusto Severo,Natal RN Brazil,Augusto Severo International is named after Brazilian aviator Augusto Severo de Albuquerque Maranhão. Its airport code comes from its home in the city of Natal.
697,nbo,Jomo Kenyatta International Airport,Nairobi Kenya,"Jomo Kenyatta International is named after Jomo Kenyatta, Kenya’s first president and prime minister. Its airport code comes from a combination of letters from the capital city of Nairobi."
