,Airport_code,Airport_name,Airport_address,Airport_description
1013,trw,Bonriki International Airport,South Tarawa Kiribati,"Built in 1943 by the U.S. Navy as Mullinix Field, Bonriki International gets its three-letter airport code from its location in the atoll of Tarawa."
1014,tsa,Taipei Songshan Airport,Taipei Taiwan,"Built in 1936, Taipei Songshan Airport was originally named Matsuyama Airdrome and served as a Japanese military airbase."
1015,tse,Astana International Airport,Astana Kazakhstan,"Astana International is located in Astana, which became the capital city of Kazakhstan in 1997. In 1963 when the airport opened, Astana was named Tselinograd."
1016,tsn,Tianjin Binhai International Airport,Tianjin China,"Tianjin Binhai International is located in Dongli District, Tianjin (alternately Romanized as Tientsin). It is one of the major air cargo centers in the People’s Republic of China."
1017,ttn,Trenton–Mercer Airport,Trenton NJ USA,"Previously known as Mercer County Airport, it was renamed in 1995 to Trenton–Mercer Airport to promote its location in the capital city of Trenton."
1018,tul,Tulsa International Airport,Tulsa OK USA,"Renamed ‘International’ in 1963, Tulsa Municipal Airport opened in 1928 and just two years later was the busiest airport in the world, outpacing London, Berlin, and Paris."
1019,tun,Tunis–Carthage International Airport,Tunis Tunisia,"Tunis–Carthage International is named after the nearby historic city of Carthage and the city it serves, Tunis."
1020,tus,Tucson International Airport,Tucson AZ USA,Tucson International is the second busiest airport in Arizona. Its airport code honors its home in the city of Tucson.
1021,txl,Flughafen Berlin-Tegel “Otto Lilienthal”,Berlin Germany,Many airports use the letter ‘X’ to fill in when the desired letters are already taken. This Berlin airport get its code from its home in the borough of Tegel plus that helpful ‘X’.
1022,tyl,Aeropuerto Capitán FAP Víctor Montes Arias,Talara Peru,"Used by the United States Army Air Forces during World War II, Víctor Montes Arias Airport gets its three-letter code from the city of Talara. It is completed with a ‘Y’, used as a filler letter."
1023,tys,McGhee Tyson Airport,Knoxville TN USA,"Located in the city of Alcoa, south of Knoxville, McGhee Tyson Airport is named after U.S. Navy pilot Charles McGhee Tyson who was lost in action during World War I."
1024,tzl,Tuzla International Airport,Tuzla Bosnia and Herzegovina,"Previously a military airport, Tuzla International reopened in 1998 as a civilian airport. Its three-letter code honors its home in Tuzla."
1025,ufa,Ufa International Airport,Ufa Russia,"Ufa International is the primary airport serving Ufa, the capital of the Republic of Bashkortostan in Russia. It is one of the few airport codes that matches the full name of the city it serves."
1026,uih,Sân bay Phù Cát,Qui Nhon Vietnam,"Phù Cát Airport is located in Phu Cat District, but gets its three-letter code from the city it serves, Qui Nhon."
1027,uio,Aeropuerto Internacional Mariscal Sucre,Quito Ecuador,"Mariscal Sucre International is named after Antonio José de Sucre who fought for the independence of Quito, in what is now Ecuador. Because the FCC reserved codes starting with ‘Q’, it opted for other letters from its home city of Quito."
